
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot / FTC (trace range)	mg/l (ppm)	ON	TD7-487-066	3	ON External	20.000	ON	1013	34.600	30%	400x	60	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot / FTC (trace range)	mg/l (ppm)	ON	TD7-487-066	3	ON External	20.000	ON	1013	34.600	30%	400x	60	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.798	1010	100.000	20.950	52.500	20.965	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.764	1010	100.000	20.950	52.500	20.484	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.724	1009	100.000	20.950	48.700	6.683	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.764	1010	100.000	20.950	48.700	6.869	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.000	
Data	Smoothing:	3	
Date:	8/31/2026	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/31/2026	17:06:23	0.00		6.4339	6.4451	6.4613	6.4795	28.752	28.752	28.752	28.752	1010.32	55.559	28.752	---	---	20.811	20.309	6.588	6.767	283.096	217.529	60.712	28.580	3.973	3.368	0.610	0.618	
8/31/2026	17:06:24	1.19		6.4325	6.4479	6.4513	6.4402	28.752	28.752	28.752	28.752	1010.35	55.548	28.752	---	---	20.813	20.305	6.596	6.795	283.078	217.526	60.723	28.587	4.014	3.040	0.610	0.619	
8/31/2026	17:06:25	2.16		6.4332	6.4483	6.4338	6.5148	28.753	28.753	28.753	28.753	1010.38	55.538	28.753	---	---	20.812	20.304	6.609	6.740	283.072	217.524	60.739	28.578	3.008	2.884	0.610	0.619	
8/31/2026	17:06:26	3.04		6.4360	6.4479	6.4344	6.4807	28.758	28.758	28.758	28.758	1010.37	55.538	28.758	---	---	20.806	20.304	6.608	6.766	283.050	217.503	60.734	28.585	3.243	2.594	0.610	0.619	
8/31/2026	17:06:27	4.05		6.4349	6.4465	6.4425	6.5226	28.759	28.759	28.759	28.759	1010.37	55.538	28.759	---	---	20.808	20.306	6.601	6.735	283.072	217.489	60.743	28.543	3.974	2.314	0.610	0.617	
8/31/2026	17:06:28	5.10		6.4353	6.4478	6.4634	6.4943	28.760	28.760	28.760	28.760	1010.34	55.528	28.760	---	---	20.807	20.303	6.586	6.756	283.065	217.496	60.744	28.562	3.752	2.619	0.610	0.617	
8/31/2026	17:06:29	6.16		6.4309	6.4511	6.4375	6.5766	28.757	28.757	28.757	28.757	1010.27	55.518	28.757	---	---	20.815	20.298	6.605	6.693	283.059	217.528	60.771	28.576	2.685	3.139	0.610	0.617	
8/31/2026	17:06:30	7.21		6.4326	6.4525	6.4241	6.5650	28.756	28.756	28.756	28.756	1010.25	55.508	28.756	---	---	20.812	20.296	6.615	6.701	283.048	217.537	60.795	28.599	2.299	3.012	0.610	0.617	
8/31/2026	17:06:31	8.11		6.4312	6.4520	6.4600	6.4973	28.754	28.754	28.754	28.754	1010.28	55.508	28.754	---	---	20.815	20.297	6.589	6.753	283.098	217.535	60.812	28.598	2.999	3.394	0.610	0.617	
8/31/2026	17:06:32	9.01		6.4328	6.4503	6.4423	6.5287	28.751	28.751	28.751	28.751	1010.35	55.508	28.751	---	---	20.813	20.301	6.603	6.730	283.087	217.522	60.834	28.557	3.255	2.674	0.610	0.617	
8/31/2026	17:06:33	9.98		6.4322	6.4495	6.4602	6.4837	28.751	28.751	28.751	28.751	1010.37	55.518	28.751	---	---	20.814	20.302	6.590	6.763	283.090	217.502	60.842	28.546	3.688	2.627	0.610	0.616	
8/31/2026	17:06:34	10.98		6.4320	6.4477	6.4489	6.4805	28.751	28.751	28.751	28.751	1010.36	55.528	28.751	---	---	20.815	20.305	6.598	6.766	283.100	217.489	60.854	28.545	3.794	2.584	0.610	0.617	
8/31/2026	17:06:35	11.98		6.4331	6.4474	6.4493	6.4898	28.754	28.754	28.754	28.754	1010.33	55.538	28.754	---	---	20.812	20.305	6.597	6.759	283.103	217.498	60.858	28.552	3.652	2.582	0.610	0.616	
