
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot / FTC (trace range)	mg/l (ppm)	ON	TD7-487-066	3	ON External	20.000	ON	1013	34.600	30%	400x	60	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	ON	SC7-525-209	3	ON External	20.000	ON	1013	34.600	20%	400x	10	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.724	1008	100.000	20.950	52.500	20.821	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.728	1008	100.000	20.950	52.500	21.128	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.742	1009	100.000	20.950	48.700	6.617	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	0.000	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.729	1008	100.000	20.950	52.500	20.697	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/28/2026	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/28/2026	17:23:20	0.00		6.4619	6.7071	6.1568	6.2538	28.645	28.645	28.645	28.645	1009.31	58.178	28.645	---	---	20.619	20.511	6.770	20.859	198.013	183.475	54.502	308.011	3.521	3.086	0.610	5.468	
8/28/2026	17:23:21	1.00		6.4636	6.7063	6.1008	6.2537	28.646	28.646	28.646	28.646	1009.31	58.196	28.646	---	---	20.616	20.512	6.815	20.859	198.010	183.484	54.504	307.973	3.333	3.225	0.610	4.117	
8/28/2026	17:23:22	2.11		6.4667	6.7029	6.1348	6.2507	28.646	28.646	28.646	28.646	1009.29	58.216	28.646	---	---	20.610	20.518	6.788	20.865	198.044	183.452	54.511	307.985	3.912	3.217	0.610	5.093	
8/28/2026	17:23:23	3.00		6.4707	6.7004	6.1524	6.2506	28.649	28.649	28.649	28.649	1009.30	58.237	28.649	---	---	20.602	20.521	6.773	20.864	197.992	183.478	54.498	308.017	2.466	4.017	0.610	4.492	
8/28/2026	17:23:24	4.00		6.4659	6.6994	6.1631	6.2520	28.649	28.649	28.649	28.649	1009.29	58.257	28.649	---	---	20.611	20.523	6.765	20.862	197.975	183.497	54.494	308.025	2.689	3.169	0.610	4.530	
8/28/2026	17:23:25	5.00		6.4681	6.7025	6.1341	6.2526	28.647	28.647	28.647	28.647	1009.29	58.267	28.647	---	---	20.608	20.518	6.788	20.861	197.947	183.517	54.484	308.027	2.303	3.495	0.610	4.091	
8/28/2026	17:23:26	6.00		6.4658	6.7040	6.1221	6.2522	28.644	28.644	28.644	28.644	1009.27	58.277	28.644	---	---	20.612	20.517	6.798	20.862	197.977	183.492	54.497	308.001	3.727	2.673	0.610	4.856	
8/28/2026	17:23:27	7.00		6.4684	6.7048	6.1671	6.2519	28.643	28.643	28.643	28.643	1009.28	58.277	28.643	---	---	20.608	20.516	6.762	20.863	197.985	183.465	54.496	308.022	4.686	3.131	0.610	6.180	
8/28/2026	17:23:28	8.00		6.4639	6.7071	6.1611	6.2532	28.643	28.643	28.643	28.643	1009.27	58.277	28.643	---	---	20.616	20.512	6.767	20.861	198.011	183.472	54.499	308.022	5.344	3.153	0.610	5.716	
8/28/2026	17:23:29	9.00		6.4661	6.7064	6.1956	6.2522	28.642	28.642	28.642	28.642	1009.27	58.277	28.642	---	---	20.612	20.513	6.740	20.863	198.015	183.451	54.498	308.046	5.406	3.709	0.610	6.056	
8/28/2026	17:23:30	10.00		6.4637	6.7049	6.2015	6.2506	28.644	28.644	28.644	28.644	1009.28	58.277	28.644	---	---	20.616	20.515	6.735	20.865	198.026	183.495	54.493	308.074	5.143	4.063	0.610	5.277	
8/28/2026	17:23:31	11.03		6.4636	6.6973	6.1886	6.2505	28.644	28.644	28.644	28.644	1009.30	58.277	28.644	---	---	20.616	20.528	6.745	20.865	197.960	183.505	54.500	308.066	4.600	3.384	0.610	5.253	
8/28/2026	17:23:32	12.00		6.4578	6.6992	6.1245	6.2500	28.647	28.647	28.647	28.647	1009.29	58.287	28.647	---	---	20.626	20.524	6.796	20.866	197.901	183.542	54.511	308.034	3.232	2.986	0.610	4.161	
