trial,brick,file,channel,uL_mg_hr,temp_C,vessel,date,environment,notes
trial1,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial1.csv,Ch2,2.70896936756792,27.948,small,10Nov2025,night,
trial1,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial1.csv,Ch3,3.66933463559679,27.948,small,10Nov2025,night,
trial1,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial1.csv,Ch4,2.92772921140052,27.948,small,10Nov2025,night,
trial1,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial1.csv,Ch2,8.20190407531646,28.233,cylinder,10Nov2025,night,
trial1,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial1.csv,Ch3,8.41716512853553,28.233,cylinder,10Nov2025,night,
trial1,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial1.csv,Ch4,7.6145238105039,28.233,cylinder,10Nov2025,night,
trial1,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial1.csv,Ch2,2.68969880746292,27.921,small,10Nov2025,night,
trial1,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial1.csv,Ch3,2.42025988091043,27.921,small,10Nov2025,night,
trial1,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial1.csv,Ch4,4.35623082478139,27.921,small,10Nov2025,night,
trial2,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial2.csv,Ch2,3.09154530979242,26.846,medium,11Nov2025,night,
trial2,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial2.csv,Ch3,5.39875117367034,26.846,medium,11Nov2025,night,
trial2,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial2.csv,Ch4,3.53025268736507,26.846,medium,11Nov2025,night,
trial3,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial3.csv,Ch2,5.05759148069046,26.75,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro"
trial3,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial3.csv,Ch3,3.39587450144073,26.75,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro"
trial3,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial3.csv,Ch4,7.30940426202749,26.75,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro"
trial3,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial3.csv,Ch2,3.07620873766141,27.948,medium,12Nov2025,night,
trial3,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial3.csv,Ch3,2.52112011632631,27.948,medium,12Nov2025,night,
trial3,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial3.csv,Ch4,4.07079645034758,27.948,medium,12Nov2025,night,
trial3,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial3.csv,Ch2,0.384283741359016,26.813,small,12Nov2025,night,
trial3,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial3.csv,Ch3,0.517094416912964,26.813,small,12Nov2025,night,
trial3,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial3.csv,Ch4,0.42833179817292,26.813,small,12Nov2025,night,
trial4,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial4.csv,Ch2,1.10195046647764,27.142,small,13Nov2025,night,
trial4,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial4.csv,Ch3,0.901493854537244,27.142,small,13Nov2025,night,
trial4,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial4.csv,Ch4,1.00053597480648,27.142,small,13Nov2025,night,
trial4,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial4.csv,Ch2,0.740565942556942,27.185,small,13Nov2025,night,
trial4,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial4.csv,Ch3,1.21407457788606,27.185,small,13Nov2025,night,
trial4,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial4.csv,Ch4,1.56000791005246,27.185,small,13Nov2025,night,
trial4,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial4.csv,Ch2,-0.22142522724441,27.189,cylinder,13Nov2025,night,
